question,solution,chapter_name,question_type
"Example 9.1: Four particles A, B, C and D having masses m, 2m, 3m and 4m respectively are placed in order at the corners of a square of side a. Locate the centre of mass. (Description of Figure 9.3: A square in the X-Y plane. Particle A (mass m) is at the origin (0,0). Particle B (mass 2m) is at (a, 0). Particle C (mass 3m) is at (a, a). Particle D (mass 4m) is at (0, a).)","Take the axes as shown in the figure. The coordinates of the four particles are: A(0,0), B(a,0), C(a,a), D(0,a). Hence, the coordinates of the centre of mass of the four-particle system are: X = (m*0 + 2m*a + 3m*a + 4m*0) / (m + 2m + 3m + 4m) = 5ma / 10m = a/2. Y = (m*0 + 2m*0 + 3m*a + 4m*a) / (m + 2m + 3m + 4m) = 7ma / 10m = 7a/10. The centre of mass is at (a/2, 7a/10).","Centre of Mass","subjective_detailed_solution"
"Example 9.3: Two charged particles of masses m and 2m are placed a distance d apart on a smooth horizontal table. Because of their mutual attraction, they move towards each other and collide. Where will the collision occur with respect to the initial positions?","As the table is smooth, there is no friction. The weight of the particles and the normal force balance each other. Taking the two particles as the system, the sum of external forces is zero (attraction is internal). Therefore, the centre of mass has no acceleration. Initially velocities are zero, so COM velocity is zero. The COM remains at the same place. Collision occurs at the COM. Location of COM from mass m is: x_cm = (m*0 + 2m*d) / (m + 2m) = 2d/3. The collision will take place at a distance 2d/3 from the initial position of mass m.","Centre of Mass","subjective_detailed_solution"
"Example 9.4: Each of the blocks shown in figure 9.14 has mass 1 kg. The rear block moves with a speed of 2 m/s towards the front block kept at rest. The spring attached to the front block is light and has a spring constant 50 N/m. Find the maximum compression of the spring. (Description of Figure 9.14: Two blocks on a frictionless surface. The left block moves right with velocity v. The right block is stationary and has a spring attached to its left side.)","Maximum compression occurs when blocks move with equal velocity V. No net external force, so momentum is conserved: (1 kg)(2 m/s) = (1 kg)V + (1 kg)V. This gives 2 = 2V, so V = 1 m/s. Initial Kinetic Energy = (1/2)(1)(2)^2 = 2 J. Final Kinetic Energy (at max compression) = (1/2)(1)(1)^2 + (1/2)(1)(1)^2 = 1 J. The lost KE is stored as elastic potential energy: (1/2)kx^2 = Initial KE - Final KE. (1/2)(50)x^2 = 2 - 1 = 1. 25x^2 = 1. x = 0.2 m.","Centre of Mass","numerical_value"
"Example 9.5: A cart A of mass 50 kg moving at a speed of 20 km/h hits a lighter cart B of mass 20 kg moving towards it at a speed of 10 km/h. The two carts cling to each other. Find the speed of the combined mass after the collision.","This is an inelastic collision. Momenta have opposite signs. Let V be the common speed. Momentum conservation: (50 kg)(20 km/h) - (20 kg)(10 km/h) = (50 + 20)V. 1000 - 200 = 70V. 800 = 70V. V = 80/7 km/h.","Centre of Mass","numerical_value"
"Example 9.6: A block of mass m moving at speed v collides with another block of mass 2m at rest. The lighter block comes to rest after the collision. Find the coefficient of restitution.","Suppose the second block (2m) moves at speed v' after collision. Conservation of momentum: mv = 2mv', so v' = v/2. Velocity of separation = v' - 0 = v/2. Velocity of approach = v - 0 = v. Coefficient of restitution e = (velocity of separation)/(velocity of approach) = (v/2) / v = 1/2.","Centre of Mass","numerical_value"
"Worked Out Example 1: Three particles of masses 0.50 kg, 1.0 kg and 1.5 kg are placed at the three corners of a right-angled triangle of sides 3.0 cm, 4.0 cm and 5.0 cm as shown in figure 9-W1. Locate the centre of mass of the system. (Description of Figure 9-W1: A right-angled triangle. The particle of 0.50 kg is at the right-angle vertex. The 4.0 cm side lies along the horizontal (X-axis) connecting to the 1.0 kg mass. The 3.0 cm side lies along the vertical (Y-axis) connecting to the 1.5 kg mass.)","Let the 4.0 cm line be the X-axis and the 3.0 cm line be the Y-axis. Coordinates: 0.50 kg at (0,0); 1.0 kg at (4.0, 0); 1.5 kg at (0, 3.0). X_cm = (0.50*0 + 1.0*4.0 + 1.5*0) / (0.50 + 1.0 + 1.5) = 4.0 / 3.0 = 1.3 cm. Y_cm = (0.50*0 + 1.0*0 + 1.5*3.0) / (3.0) = 4.5 / 3.0 = 1.5 cm. The centre of mass is 1.3 cm right and 1.5 cm above the 0.5 kg particle.","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 2: Half of the rectangular plate shown in figure 9-W2 is made of a material of density rho1 and the other half of density rho2. The length of the plate is L. Locate the centre of mass of the plate. (Description of Figure 9-W2: A rectangular plate of length L divided vertically into two equal halves. Left half has density rho1, right half has density rho2. Origin O is at the middle of the left edge.)","The centre of mass of each half is at its geometric centre. Left half (mass proportional to rho1) is at x = L/4. Right half (mass proportional to rho2) is at x = 3L/4. Mass is proportional to density since volume is same. Let mass factors be K*rho1 and K*rho2. X_cm = (K*rho1 * L/4 + K*rho2 * 3L/4) / (K*rho1 + K*rho2). X_cm = (rho1 + 3*rho2)L / 4(rho1 + rho2).","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 3: The density of a linear rod of length L varies as rho = A + Bx where x is the distance from the left end. Locate the centre of mass.","Mass element dm = rho * area * dx = (A + Bx) * alpha * dx. X_cm = Integral(x dm) / Integral(dm) from 0 to L. Numerator = Integral(Ax + Bx^2)dx = A(L^2/2) + B(L^3/3). Denominator = Integral(A + Bx)dx = AL + B(L^2/2). X_cm = (AL^2/2 + BL^3/3) / (AL + BL^2/2) = (3AL + 2BL^2) / (3(2A + BL)).","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 4: A cubical block of ice of mass m and edge L is placed in a large tray of mass M. If the ice melts, how far does the centre of mass of the system 'ice plus tray' come down? (Description of Figure 9-W4: A block of ice on a tray. x1 is height of tray COM, x2 is height of ice COM.)","Let tray COM be at height x1. Ice COM is at x2 = L/2 (assuming base on tray surface). Initial COM height x = (m*x2 + M*x1)/(m+M). When ice melts, water spreads on tray, its COM is effectively on the surface (height negligible, approx 0). New water COM height x3 approx 0. New system COM height x' = (m*0 + M*x1)/(m+M). Shift = x - x' = (m*x2)/(m+M) = (m * L/2) / (m + M) = mL / 2(m + M).","Centre of Mass","subjective_detailed_solution"
"Worked Out Example 5: Consider a two-particle system with the particles having masses m1 and m2. If the first particle is pushed towards the centre of mass through a distance d, by what distance should the second particle be moved so as to keep the centre of mass at the same position?","Let initial positions relative to COM be x1 and x2. m1*x1 = m2*x2. m1 moves distance d, new pos x1-d. m2 moves distance d', new pos x2-d'. To keep COM same: m1(x1 - d) = m2(x2 - d'). Subtracting original equation gives: m1*d = m2*d'. d' = (m1/m2)d.","Centre of Mass","subjective_detailed_solution"
