question,solution,chapter_name,question_type
"Example 7.1: A particle moves in a circle of radius 20 cm with a linear speed of 10 m/s. Find the angular velocity.","The angular velocity is omega = v/r = 10 m/s / 20 cm = 10 m/s / 0.2 m = 50 rad/s.","Circular Motion","numerical_value"
"Example 7.2: A particle travels in a circle of radius 20 cm at a speed that uniformly increases. If the speed changes from 5.0 m/s to 6.0 m/s in 2.0 s, find the angular acceleration.","The tangential acceleration is given by a_t = dv/dt = (v2 - v1)/(t2 - t1) = (6.0 - 5.0)/2.0 m/s^2 = 0.5 m/s^2. The angular acceleration is alpha = a_t / r = (0.5 m/s^2) / 20 cm = (0.5 m/s^2) / 0.2 m = 2.5 rad/s^2.","Circular Motion","numerical_value"
"Example 7.3: Find the magnitude of the linear acceleration of a particle moving in a circle of radius 10 cm with uniform speed completing the circle in 4 s.","The distance covered in completing the circle is 2*pi*r = 2*pi*10 cm. The linear speed is v = 2*pi*r / t = (2*pi*10 cm) / 4 s = 5*pi cm/s. The linear acceleration is a = v^2 / r = (5*pi cm/s)^2 / 10 cm = 2.5 * pi^2 cm/s^2. This acceleration is directed towards the centre of the circle.","Circular Motion","numerical_value"
"Example 7.4: A particle moves in a circle of radius 20 cm. Its linear speed is given by v = 2t, where t is in second and v in metre/second. Find the radial and tangential acceleration at t = 3 s.","The linear speed at t = 3 s is v = 2t = 6 m/s. The radial acceleration at t = 3 s is a_r = v^2 / r = (36 m^2/s^2) / 0.20 m = 180 m/s^2. The tangential acceleration is a_t = dv/dt = d(2t)/dt = 2 m/s^2.","Circular Motion","numerical_value"
"Example 7.5: A small block of mass 100 g moves with uniform speed in a horizontal circular groove, with vertical side walls, of radius 25 cm. If the block takes 2.0 s to complete one round, find the normal contact force by the side wall of the groove.","The speed of the block is v = (2*pi * 25 cm) / 2.0 s = 0.785 m/s. The acceleration of the block is a = v^2 / r = (0.785 m/s)^2 / 0.25 m = 2.5 m/s^2 towards the centre. The only force in this direction is the normal contact force due to the side walls. Thus, from Newton's second law, this force is N = ma = (0.100 kg)(2.5 m/s^2) = 0.25 N.","Circular Motion","numerical_value"
"Example 7.6: The road at a circular turn of radius 10 m is banked by an angle of 10 degrees. With what speed should a vehicle move on the turn so that the normal contact force is able to provide the necessary centripetal force?","If v is the correct speed, tan theta = v^2 / (rg) or v = sqrt(rg tan theta) = sqrt((10 m)(9.8 m/s^2)(tan 10 degrees)) = 4.2 m/s.","Circular Motion","numerical_value"
"Example 7.7: A body weighs 98 N on a spring balance at the north pole. What will be its weight recorded on the same scale if it is shifted to the equator? Use g = GM/R^2 = 9.8 m/s^2 and the radius of the earth R = 6400 km.","At poles, the apparent weight is same as the true weight. Thus, 98 N = mg = m(9.8 m/s^2), so m = 10 kg. At the equator, the apparent weight is mg' = mg - m(omega^2)R. The radius of the earth is 6400 km and the angular speed is omega = (2*pi rad) / (24*60*60 s) = 7.27 * 10^-5 rad/s. Thus, mg' = 98 N - (10 kg)(7.27 * 10^-5 s^-1)^2(6400 km) = 97.66 N.","Circular Motion","numerical_value"
"Worked Out Example 1: A car has to move on a level turn of radius 45 m. If the coefficient of static friction between the tyre and the road is mu_s = 2.0, find the maximum speed the car can take without skidding.","Let the mass of the car be M. The forces on the car are (a) weight Mg downward (b) normal force N by the road upward (c) friction f_s by the road towards the centre. The acceleration is v^2/R towards the centre. Resolving forces: N = Mg and f_s = Mv^2/R. For maximum speed without skidding, friction is limiting: f_s = mu_s * N = mu_s * Mg. So, mu_s * Mg = Mv^2/R => v^2 = mu_s * g * R. Putting values, v = sqrt(2.0 * 10 m/s^2 * 45 m) = 30 m/s = 108 km/hr.","Circular Motion","numerical_value"
"Worked Out Example 2: A circular track of radius 600 m is to be designed for cars at an average speed of 180 km/hr. What should be the angle of banking of the track? ","Let the angle of banking be theta. For proper banking, static frictional force is not needed. Vertical acceleration is zero: N cos theta = Mg. Horizontal acceleration is v^2/r towards center: N sin theta = M v^2/r. Dividing equations: tan theta = v^2 / (rg). Putting values: tan theta = (180 km/hr)^2 / (600 m * 10 m/s^2) = (50 m/s)^2 / 6000 = 2500/6000 = 0.4167. theta = 22.6 degrees.","Circular Motion","numerical_value"
"Worked Out Example 3: A particle of mass m is suspended from a ceiling through a string of length L. The particle moves in a horizontal circle of radius r. Find (a) the speed of the particle and (b) the tension in the string. Such a system is called a conical pendulum. ","The angle theta made by the string with the vertical is given by sin theta = r/L. Forces on particle: Tension T and weight mg. Radial acceleration is v^2/r. Resolving forces: (ii) T sin theta = m(v^2/r). (iii) T cos theta = mg. Dividing (ii) by (iii): tan theta = v^2 / (rg) => v = sqrt(rg tan theta). From geometry, tan theta = r / sqrt(L^2 - r^2). So v = r * sqrt(g / sqrt(L^2 - r^2)). From (iii), T = mg / cos theta = mgL / sqrt(L^2 - r^2).","Circular Motion","subjective_detailed_solution"
